web-scraper-order,web-scraper-start-url,Nombre,rating
"1615073240-5","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.9"
"1615073240-17","https://www.rappi.com.mx/restaurantes/category/pizza","La Gabella","null"
"1615073240-29","https://www.rappi.com.mx/restaurantes/category/pizza","Crilu Pizza","null"
"1615073240-22","https://www.rappi.com.mx/restaurantes/category/pizza","Lucco Pizza","null"
"1615073240-7","https://www.rappi.com.mx/restaurantes/category/pizza","La Vieja Varsovia","null"
"1615073240-31","https://www.rappi.com.mx/restaurantes/category/pizza","Galia - Postreria y Pizza","null"
"1615073240-4","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1615073240-18","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1615073240-30","https://www.rappi.com.mx/restaurantes/category/pizza","La Fontana del Sur","null"
"1615073240-26","https://www.rappi.com.mx/restaurantes/category/pizza","La Pizzoleta","4.4"
"1615073240-25","https://www.rappi.com.mx/restaurantes/category/pizza","Mozza Pizzería","null"
"1615073240-32","https://www.rappi.com.mx/restaurantes/category/pizza","ricardo huerta bazan","null"
"1615073240-21","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza y Grill","null"
"1615073240-24","https://www.rappi.com.mx/restaurantes/category/pizza","La Filippa Pizza","null"
"1615073240-20","https://www.rappi.com.mx/restaurantes/category/pizza","Gabo's Pizza","null"
"1615073240-19","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null"
"1615073240-16","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","null"
"1615073240-14","https://www.rappi.com.mx/restaurantes/category/pizza","California Pizza Kitchen","null"
"1615073240-11","https://www.rappi.com.mx/restaurantes/category/pizza","Los Dogos","4.6"
"1615073240-1","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.7"
"1615073240-33","https://www.rappi.com.mx/restaurantes/category/pizza","Il Toro Pizza","null"
"1615073240-28","https://www.rappi.com.mx/restaurantes/category/pizza","Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.","null"
"1615073240-6","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","4.1"
"1615073240-27","https://www.rappi.com.mx/restaurantes/category/pizza","Slicers Pizza","null"
"1615073240-12","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino´s Pizza","null"
"1615073240-10","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.7"
"1615073240-13","https://www.rappi.com.mx/restaurantes/category/pizza","Don Pizza Corregidora","null"
"1615073240-23","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1615073240-15","https://www.rappi.com.mx/restaurantes/category/pizza","Gusto Mío","null"
"1615073240-2","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.7"
"1615073240-8","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","null"
"1615073240-3","https://www.rappi.com.mx/restaurantes/category/pizza","Trapani Pizza","4.8"
"1615073240-9","https://www.rappi.com.mx/restaurantes/category/pizza","Il Pizzaiolo Qro","4.4"
